Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
8/9/2019,71.4782,76.4579,45.0749,35.6801,10.5835,74.2893
8/8/2019,71.982,76.5504,45.1382,35.8198,10.6487,74.5318
8/7/2019,71.519,75.6715,45.0622,35.4706,10.6878,73.8448
8/6/2019,71.5463,74.7925,44.695,35.4007,10.6747,73.865
8/5/2019,70.4842,73.5743,44.6064,34.9001,10.6226,72.7536
8/2/2019,70.3617,75.3014,44.2138,34.4344,10.4009,74.5722
8/1/2019,70.1847,75.4093,44.0619,34.3412,10.3749,74.8349
7/31/2019,68.8163,74.659,43.6746,33.8533,10.0625,74.9211
7/30/2019,68.667,75.0278,43.6746,33.6442,10.0755,75.2229
7/29/2019,68.7213,75.3197,43.4724,33.4468,10.0625,75.1424
7/26/2019,68.8299,75.3351,43.4851,33.5629,10.0625,75.404
7/25/2019,68.5991,75.4272,43.4977,33.6558,10.0495,75.0217
7/24/2019,69.1422,75.6884,43.4219,33.8765,10.1146,75.2631
7/23/2019,68.667,75.289,43.2829,33.8417,10.0885,75.1223
7/22/2019,68.5719,74.7512,43.3587,33.8765,10.1146,74.8205
7/19/2019,68.056,74.1367,43.3587,33.8417,10.1015,74.2369
7/18/2019,68.3139,74.3978,43.4219,34.0508,10.2187,74.5387
7/17/2019,67.9202,74.0752,43.3208,33.772,10.0885,74.4583
7/16/2019,67.0376,73.8755,43.068,33.4932,9.9844,74.6796
7/15/2019,67.3906,73.9677,43.1691,33.7139,10.0235,75.0418
7/12/2019,67.1055,73.6143,43.207,33.3771,9.9974,74.9211
7/11/2019,66.9426,73.2609,42.9796,33.1448,9.9844,74.6394
7/10/2019,67.9338,73.7679,43.1691,33.5629,10.0365,74.9814
7/9/2019,67.5536,73.4914,43.0933,33.3306,9.8413,74.4985
7/8/2019,67.9066,73.9062,42.8153,33.1912,9.8803,74.6997
7/5/2019,68.1374,74.152,42.7268,33.168,9.9324,75.0418
7/3/2019,69.631,75.0585,42.8911,33.5745,10.1536,75.7461
7/2/2019,69.1694,74.5822,42.8026,33.2261,10.1276,75.082
7/1/2019,68.7077,74.2749,42.4741,33.1564,10.0625,74.6997
6/28/2019,68.3902,73.3905,42.6267,33.4319,10.1327,74.648
6/27/2019,67.9569,73.1303,42.6141,33.3857,10.1327,74.5879
6/26/2019,66.9821,72.4263,42.3871,33.1315,10.0418,74.1071
6/25/2019,67.3206,72.1355,42.5132,33.2586,10.1717,74.1872
6/24/2019,67.8215,73.0232,42.488,33.4897,10.1457,74.9285
6/21/2019,67.4018,72.6865,42.324,33.2355,10.0808,74.9485
6/20/2019,68.0111,74.3853,42.4754,33.8363,10.1327,75.5094
6/19/2019,67.104,73.6048,42.3492,33.0853,10.0808,74.628
6/18/2019,66.0479,72.1049,42.3366,32.3228,9.8469,73.8066
6/17/2019,64.9512,70.3754,42.1727,31.7797,9.8339,72.6046
6/14/2019,64.8699,70.2989,42.2357,32.0339,9.8859,72.865
6/13/2019,64.8023,70.4366,42.1979,32.2419,9.9249,72.9852
6/12/2019,64.3825,70.054,42.1475,32.1957,9.808,72.5846
6/11/2019,64.1388,70.1918,42.1096,32.1263,9.717,72.9852
6/10/2019,63.9899,70.4213,42.1727,32.2996,9.756,72.7449
6/7/2019,64.5856,70.6356,42.3619,33.016,9.8599,72.4844
6/6/2019,63.8545,69.6102,41.9583,32.5307,9.743,72.0437
6/5/2019,63.5431,68.9674,42.097,32.6116,9.808,71.6831
6/4/2019,63.6514,68.4317,42.1727,32.5307,9.756,71.2824
6/3/2019,63.5972,67.4216,42.324,32.7964,9.8339,69.5796
5/31/2019,63.0968,67.484,42.0468,32.4412,9.6282,69.3086
5/30/2019,62.7188,67.484,41.7951,31.6139,9.3949,70.545
